 REC ID ,  RECORD TYPE  ,          FIELD NAME                                        , START ,  END  , Length
--------,---------------,-------------HEADER-----------------------------------------,-------,-------,-------
"   H	   ", FILE HEADER   ,"BRDRDGE-QSTMT-REC-ID-FHDR								                    ",   1   ,   1   ,   1   
"   H	   ", FILE HEADER   ,BRDRDGE-QSTMT-FHDR-FILLER-1                                 ,"	2	    ","	10	  ","	9     "
"   H	   ", FILE HEADER   ,BRDRDGE-QSTMT-FHDR-DATE                                     ,"	11	  ","	18	  ","	8     "
"   H	   ", FILE HEADER   ,BRDRDGE-QSTMT-FHDR-FILLER-2                                 ,"	19	  ","	22	  ","	4     "
"   H	   ", FILE HEADER   ,BRDRDGE-QSTMT-FHDR-FILE-NAME                                ,"   23	","	52	  ","	30    "
"   H	   ", FILE HEADER   ,BRDRDGE-QSTMT-FHDR-FILLER-3                                 ,"   53	","   600	",   548 
--------,----------------,------------------------------------------------------------,-------,-------,-------
"   D2	  ", DETAIL RECORD  ,"BRDRDGE-QSTMT-REC-ID-RHDR									      ","	1	  ","	1	  ","	1   "
"   D2	  ", DETAIL RECORD  ,"BRDRDGE-QSTMT-RHDR-MGMT             						","   2	","	4	  ","	3   "
"   D2	  ", DETAIL RECORD  ,"BRDRDGE-QSTMT-RHDR-ACCOUNT          						","   5	","	14	","	10  "
"   D2	  ", DETAIL RECORD  ,"BRDRDGE-QSTMT-RHDR-ACCT-REG-1       						","	15	","	49	","	35  "
"   D2	  ", DETAIL RECORD  ,"BRDRDGE-QSTMT-RHDR-ACCT-REG-2       						","	50	","	84	","	35  "
"   D2	  ", DETAIL RECORD  ,"BRDRDGE-QSTMT-RHDR-ACCT-REG-3       						","	85	","	119	","	35  "
"   D2	  ", DETAIL RECORD  ,"BRDRDGE-QSTMT-RHDR-ACCT-REG-4       						","	120	","	154 ","	35  "
"   D2	  ", DETAIL RECORD  ,"BRDRDGE-QSTMT-RHDR-ACCT-REG-5       						","	155 ","	189	","	35  "
"   D2	  ", DETAIL RECORD  ,"BRDRDGE-QSTMT-RHDR-ACCT-REG-6       						","	190	","	224	","	35  "
"   D2	  ", DETAIL RECORD  ,"BRDRDGE-QSTMT-RHDR-REG-END-LINE     						","	225	","	225	","	1   "
"   D2	  ", DETAIL RECORD  ,"BRDRDGE-QSTMT-RHDR-ZIP-CODE         						","	226	","	234	","	9   "
"   D2	  ", DETAIL RECORD  ,"BRDRDGE-QSTMT-RHDR-ST-ABRV    								  ","	235	","	236	","	2   "
"   D2	  ", DETAIL RECORD  ,"BRDRDGE-QSTMT-RHDR-ST-IND    								    ","	237	","	237	","	1   "
"   D2	  ", DETAIL RECORD  ,"BRDRDGE-QSTMT-RHDR-3RD-PARTY-SW     						","	238	","	238	","	1   "
"   D2	  ", DETAIL RECORD  ,"BRDRDGE-QSTMT-RHDR-DLR-NUMBER       						","	239	","	244	","	6   "
"   D2	  ", DETAIL RECORD  ,"BRDRDGE-QSTMT-RHDR-DLR-REG-1        						","	245	","	276	","	32  "
"   D2	  ", DETAIL RECORD  ,"BRDRDGE-QSTMT-RHDR-DLR-REG-2        						","	277	","	311	","	35  "
"   D2	  ", DETAIL RECORD  ,"BRDRDGE-QSTMT-RHDR-DLR-REG-3        						","	312	","	346	","	35  "
"   D2	  ", DETAIL RECORD  ,"BRDRDGE-QSTMT-RHDR-DLR-REG-4        						","	347	","	381	","	35  "
"   D2	  ", DETAIL RECORD  ,"BRDRDGE-QSTMT-RHDR-DLR-REG-5        						","	382	","	416	","	35  "
"   D2	  ", DETAIL RECORD  ,"BRDRDGE-QSTMT-RHDR-DLR-REG-6        						","	417	","	451	","	35  "
"   D2	  ", DETAIL RECORD  ,"BRDRDGE-QSTMT-RHDR-DLR-ZIP-CODE         				","	452	","	460	","	9   "
"   D2	  ", DETAIL RECORD  ,"BRDRDGE-QSTMT-RHDR-DLR-ST-ABRV    							","	461	","	462	","	2   "
"   D2	  ", DETAIL RECORD  ,"BRDRDGE-QSTMT-RHDR-DLR-ST-IND    							  ","	463	","	463	","	1   "
"   D2	  ", DETAIL RECORD  ,"BRDRDGE-QSTMT-RHDR-BRANCH-NUMBER    						","	464	","	472	","	9   "
"   D2	  ", DETAIL RECORD  ,"BRDRDGE-QSTMT-RHDR-REP-NUMBER       						","	473	","	481	","	9   "
"   D2	  ", DETAIL RECORD  ,"BRDRDGE-QSTMT-RHDR-REP-NAME         						","	482	","	521	","	40  "
"   D2	  ", DETAIL RECORD  ,"BRDRDGE-QSTMT-RHDR-ALPHA-CODE         					","	522	","	531	","	10  "
"   D2	  ", DETAIL RECORD  ,"BRDRDGE-QSTMT-RHDR-TAX-ID            						","	532	","	540	","	9   "
"   D2	  ", DETAIL RECORD  ,"BRDRDGE-QSTMT-RHDR-TAX-ID-TYPE         					","	541	","	541	","	1   "
"   D2	  ", DETAIL RECORD  ,"BRDRDGE-QSTMT-RHDR-QUICK-ACCESS-NO         			","	542	","	550	","	9   "
"   D2	  ", DETAIL RECORD  ,"BRDRDGE-QSTMT-RHDR-PRINT-IND            				","	551	","	551	","	1   "
"   D2	  ", DETAIL RECORD  ,"BRDRDGE-QSTMT-RHDR-FILLER           						","	552	","	600	","	49  "
--------,----------------,------------------------------------------------------------,-------,-------,-------
"   D3	  ", DETAIL RECORD  ,BRDRDGE-QSTMT-REC-ID-RHDR2                                  ,   1   ,"	1	  ","	1   "
   D3   , DETAIL RECORD  ,BRDRDGE-QSTMT-RHDR2-MGMT                                    ,   2   ,"	4	  ","	3   "
"   D3	  ", DETAIL RECORD  ,BRDRDGE-QSTMT-RHDR2-ACCOUNT                                 ,   5   ,"	14	","	10  "
"   D3	  ", DETAIL RECORD  ,BRDRDGE-QSTMT-RHDR2-START-DT                                ,   15  ,"	22	","	8   "
"   D3	  ", DETAIL RECORD  ,BRDRDGE-QSTMT-RHDR2-END-DT                                  ,   23  ,"	30	","	8   "
"   D3	  ", DETAIL RECORD  ,BRDRDGE-QSTMT-RHDR2-BEG-BAL                                 ,   31  ,"	45	","	15  "
"   D3	  ", DETAIL RECORD  ,BRDRDGE-QSTMT-RHDR2-ALL-BUYS                                ,"   46 	","	60	","	15  "
"   D3	  ", DETAIL RECORD  ,BRDRDGE-QSTMT-RHDR2-DIV-CGS                                 ,   61  ,"	75	","	15  "
"   D3	  ", DETAIL RECORD  ,BRDRDGE-QSTMT-RHDR2-ALL-SELLS                               ,   76  ,"	90	","	15  "
   D3   , DETAIL RECORD  ,BRDRDGE-QSTMT-RHDR2-CHG-VAL-IND                             ,   91  ,   91  ,   1   
